timestamp_iso,device,device_id,ip,power_W,voltage_V,current_A
2026-03-28 14:19:00.938,computer,sm_pc,192.168.1.141,142.7,235.4,0.667
2026-03-28 14:20:00.999,computer,sm_pc,192.168.1.141,141.8,235.4,0.665
2026-03-28 14:21:01.048,computer,sm_pc,192.168.1.141,128.5,236.0,0.611
2026-03-28 14:22:01.104,computer,sm_pc,192.168.1.141,156.1,236.9,0.721
2026-03-28 14:23:01.184,computer,sm_pc,192.168.1.141,215.3,236.7,0.963
2026-03-28 14:24:01.249,computer,sm_pc,192.168.1.141,139.5,236.9,0.654
2026-03-28 14:25:01.315,computer,sm_pc,192.168.1.141,277.7,236.4,1.225
2026-03-28 14:26:01.370,computer,sm_pc,192.168.1.141,293.4,235.7,1.295
2026-03-28 14:27:01.439,computer,sm_pc,192.168.1.141,249.3,237.4,1.097
2026-03-28 14:28:01.505,computer,sm_pc,192.168.1.141,223.6,237.3,0.985
2026-03-28 14:29:01.569,computer,sm_pc,192.168.1.141,146.8,235.9,0.684
2026-03-28 14:30:01.629,computer,sm_pc,192.168.1.141,421.4,234.7,1.862
2026-03-28 14:31:01.688,computer,sm_pc,192.168.1.141,425.0,234.6,1.871
2026-03-28 14:32:01.729,computer,sm_pc,192.168.1.141,428.3,235.5,1.834
2026-03-28 14:33:01.796,computer,sm_pc,192.168.1.141,418.2,235.6,1.829
2026-03-28 14:34:01.866,computer,sm_pc,192.168.1.141,148.3,236.6,0.693
2026-03-28 14:35:01.928,computer,sm_pc,192.168.1.141,418.4,236.6,1.814
2026-03-28 14:36:01.983,computer,sm_pc,192.168.1.141,418.4,235.6,1.835
2026-03-28 14:37:02.041,computer,sm_pc,192.168.1.141,421.5,234.3,1.862
2026-03-28 14:38:02.101,computer,sm_pc,192.168.1.141,152.3,234.7,0.683
2026-03-28 14:39:02.158,computer,sm_pc,192.168.1.141,424.4,232.9,1.869
2026-03-28 14:40:02.218,computer,sm_pc,192.168.1.141,424.1,233.7,1.859
2026-03-28 14:41:02.282,computer,sm_pc,192.168.1.141,417.4,233.8,1.856
2026-03-28 14:42:02.350,computer,sm_pc,192.168.1.141,414.6,233.5,1.833
2026-03-28 14:43:02.410,computer,sm_pc,192.168.1.141,149.2,233.8,0.698
2026-03-28 14:44:02.454,computer,sm_pc,192.168.1.141,427.0,232.4,1.888
2026-03-28 14:45:02.508,computer,sm_pc,192.168.1.141,423.5,233.5,1.864
2026-03-28 14:46:02.564,computer,sm_pc,192.168.1.141,411.6,233.4,1.814
2026-03-28 14:47:02.618,computer,sm_pc,192.168.1.141,317.3,232.9,1.41
2026-03-28 14:48:02.672,computer,sm_pc,192.168.1.141,469.7,233.3,2.066
2026-03-28 14:49:02.740,computer,sm_pc,192.168.1.141,469.9,232.8,2.071
2026-03-28 14:50:02.795,computer,sm_pc,192.168.1.141,484.5,233.2,2.13
2026-03-28 14:51:02.870,computer,sm_pc,192.168.1.141,476.9,234.1,2.091
