cycle_id,start_time,end_time,duration_minutes,max_power,mean_power,energy_kwh,time_of_peak_norm,cluster
0,2017-06-09 06:35:52.250473,2017-06-09 07:24:59.208370,49.11596495,2254.56201171875,643.7534104076157,0.5281656343459558,0.0003295416119663313,3
1,2017-06-15 08:30:54.994598,2017-06-15 08:53:31.060365,22.601096116666668,755.100402832031,211.0601221047639,0.0799605211039682,0.9199145285230675,2
2,2017-06-17 15:02:26.966813,2017-06-17 15:53:31.862253,51.08159066666666,773.910461425781,123.23361694116227,0.10520671565300325,0.9944770177743862,2
3,2017-06-24 11:34:47.895317,2017-06-24 12:03:03.871629,28.266271866666667,2188.98510742188,791.990874393781,0.3738412807190864,0.0005689978214951626,3
4,2017-06-29 14:52:16.846150,2017-06-29 15:27:18.967470,35.035355333333335,756.702026367188,185.1290979779675,0.10860606560474119,0.949209438159639,2
5,2017-07-09 14:56:53.549218,2017-07-09 15:27:21.569908,30.4670115,2201.07592773438,1498.60320866636,1.1237440607241815,0.0002434576793626726,3
6,2017-07-09 16:12:46.138936,2017-07-09 16:43:40.175886,30.900615833333333,753.426147460938,151.3151954771685,0.07771375030703075,0.9666943665114917,2
7,2017-07-11 15:28:20.318490,2017-07-11 16:04:24.336198,36.066961799999994,752.402465820312,179.51382330281075,0.10788484258718836,0.9520757289648255,2
8,2017-07-18 15:21:20.808668,2017-07-18 15:45:09.840926,23.8172043,2238.7119140625,985.9215899919895,0.39321076377085157,0.47770367095654964,3
9,2017-07-31 15:53:17.343004,2017-07-31 16:28:21.349332,35.06677213333333,754.8818359375,149.34530046351196,0.08713432620755929,0.9953005723672389,2
10,2017-08-12 06:57:21.775938,2017-08-12 07:25:22.806774,28.0171806,2137.734375,863.9116375650307,0.4015997882950065,0.2473781926606046,3
11,2017-08-19 06:17:49.760408,2017-08-19 06:49:57.822424,32.13436693333333,2127.53002929688,2028.687214822972,1.0894257580173343,0.015565052591338025,0
12,2017-08-19 07:33:24.681254,2017-08-19 08:01:49.745446,28.417736533333333,766.35986328125,136.48942987771161,0.06464676027168477,0.9947236405322054,2
13,2017-08-20 08:15:25.758829,2017-08-20 08:49:20.747762,33.916482216666665,760.338317871094,169.54152286011333,0.09571668418491884,0.9587918452484966,2
14,2017-08-27 11:19:00.748805,2017-08-27 13:31:08.726851,132.13296743333333,2195.37646484375,563.2168694355945,1.2425351753149931,0.9345186229385177,1
15,2017-09-02 17:53:07.729274,2017-09-02 18:51:00.731004,57.883362166666664,2190.4931640625,257.91189698217903,0.25139120785299884,0.9307243408112881,3
16,2017-09-07 16:21:59.984224,2017-09-07 17:01:54.997012,39.9168798,2179.59497070312,735.3169683829007,0.4901402374542557,0.00039589055919952857,3
17,2017-09-08 15:21:26.832962,2017-09-08 15:50:24.897727,28.967746083333335,755.367431640625,129.43241439957217,0.06262055629787668,0.9942869153516601,2
18,2017-09-09 12:37:36.917649,2017-09-09 13:07:39.838661,30.048683533333335,782.964416503906,152.29796268971654,0.07659546289615701,0.940273660693782,2
19,2017-09-23 16:28:21.886746,2017-09-23 17:03:18.913508,34.950446033333336,762.172302246094,180.8145377183639,0.1061764796311468,0.9496014742520151,2
20,2017-09-29 15:30:17.570976,2017-09-29 16:16:42.573943,46.41671611666666,2176.91723632812,740.3681678396262,0.5699015117444955,0.7108647598497453,3
21,2017-09-30 10:11:13.544811,2017-09-30 10:31:56.597275,20.71754106666667,779.698669433594,122.83627568959416,0.04266631624045041,0.9487394508951854,2
22,2017-10-03 09:33:38.506264,2017-10-03 10:13:16.596278,39.634833566666664,2157.25708007812,2055.234216421766,1.360731616380526,0.7394184970269083,0
23,2017-10-03 10:50:56.519300,2017-10-03 11:22:56.972377,32.007551283333335,762.091552734375,181.27886909230946,0.09680707026316757,0.9652078282248573,2
24,2017-10-07 09:45:07.604409,2017-10-07 10:09:56.562479,24.815967833333332,2164.07202148438,684.8463016887533,0.28400839872650446,0.979227063343631,3
25,2017-10-21 07:49:20.591105,2017-10-21 08:35:22.773879,46.03637956666667,2097.1220703125,277.54672295451724,0.2473748821294503,0.27704335192121426,3
26,2017-10-25 16:06:07.773408,2017-10-25 16:28:50.769939,22.71660885,2146.40283203125,748.6589849042751,0.2837862262982963,0.0,3
27,2017-10-25 21:56:25.655841,2017-10-25 22:29:59.644105,33.566471066666665,755.162475585938,204.55689055153513,0.11485432522884044,0.9481020623420094,2
28,2017-10-28 08:27:02.878946,2017-10-28 08:51:05.634974,24.0459338,2157.97998046875,583.1433077154477,0.2355896799145713,0.24226465594024493,3
29,2017-11-04 15:00:32.834241,2017-11-04 15:27:32.816413,26.999702866666667,2129.02563476562,2000.655728000746,0.9034315309022634,0.0006094081618785852,0
30,2017-11-04 18:56:46.884476,2017-11-04 19:18:38.009763,21.852088116666668,2138.47973632812,753.7501687859491,0.2783178809707059,0.8455287037059394,3
31,2017-11-09 16:19:29.706710,2017-11-09 16:55:38.833114,36.15210673333333,783.751586914062,194.91924235679977,0.11783993602199805,0.9509039836716244,2
32,2017-11-10 15:13:23.125391,2017-11-10 15:48:02.719921,34.65990883333333,2134.64721679688,1070.9152680695377,0.6197168803847698,0.29057108294595513,3
33,2017-11-11 07:18:47.930320,2017-11-11 07:54:21.729860,35.563325666666664,2180.705078125,2084.883865752708,1.2391317700734903,0.0015092440192936512,0
34,2017-11-11 08:34:05.894256,2017-11-11 09:03:59.901546,29.9001215,782.336486816406,144.8394746064192,0.0721529867250289,0.9550185963005542,2
35,2017-11-16 15:18:19.719933,2017-11-16 15:56:40.824203,38.35173783333333,2146.05297851562,2049.1125189725335,1.3129440279530862,0.0,0
36,2017-11-16 16:42:34.836874,2017-11-16 17:03:16.263007,20.69043555,783.766967773438,208.436412715873,0.07203247366009477,0.9413574908972775,2
37,2017-11-18 07:15:45.803698,2017-11-18 07:43:33.005432,27.786695566666666,2221.89599609375,1074.1295465906915,0.4988642110323358,0.48199792698508026,3
38,2017-11-25 11:27:37.073845,2017-11-25 11:57:48.291609,30.186962733333335,2204.30004882812,2119.4031088803704,1.0698256331228875,0.0007400134046483167,0
39,2017-11-25 12:42:38.278109,2017-11-25 13:17:36.289658,34.96685915,761.351928710938,160.5136347665292,0.09383961197280663,0.9623268770531309,2
40,2017-11-25 17:34:24.182886,2017-11-25 18:03:10.074353,28.764857783333333,2121.01611328125,1941.632115505614,0.9336181880234646,0.12612980633020676,0
41,2017-11-25 18:51:04.136356,2017-11-25 19:23:46.115530,32.699652900000004,777.104736328125,171.61726869702707,0.09387406649503804,0.9619154121674293,2
42,2017-12-02 12:29:50.721148,2017-12-02 12:53:27.636751,23.61526005,2119.884765625,935.7123668333141,0.3759076331085498,0.0,3
43,2017-12-02 14:56:37.638316,2017-12-02 15:46:48.683769,50.18409088333333,2155.59326171875,889.013165702057,0.744841177530678,0.4001962468592952,3
44,2017-12-06 15:09:41.644915,2017-12-06 15:43:57.562937,34.265300366666665,2196.50463867188,2088.5079001540953,1.1959408467649284,0.0004548446490831405,0
45,2017-12-06 16:20:16.716952,2017-12-06 16:55:29.039827,35.205381249999995,769.481750488281,164.58364314686628,0.0964854827869007,0.9669054515795528,2
46,2017-12-17 11:26:59.628761,2017-12-17 12:06:02.656160,39.05045665,2160.02587890625,2067.192964446642,1.3488408478412923,0.0004499607021245957,0
47,2017-12-20 19:48:18.696828,2017-12-20 20:08:55.774109,20.617954683333334,2072.44750976562,1777.3543622643606,0.6130246645438635,0.03943016530046331,0
48,2017-12-21 02:49:52.638176,2017-12-21 03:10:26.826762,20.569809766666665,2157.92749023438,1032.7365891646405,0.35419893917844864,0.0,3
49,2017-12-28 18:44:56.665409,2017-12-28 19:06:57.644614,22.016320083333333,2079.74365234375,1076.4646894439134,0.39797567441046383,0.40687767649894674,3
50,2017-12-29 09:24:15.092108,2017-12-29 09:45:58.039504,21.715789933333333,2180.923828125,1215.3841121710207,0.43794340299602186,0.9762756850788783,3
51,2017-12-29 10:50:22.049938,2017-12-29 11:11:44.108819,21.367648016666667,759.390380859375,123.91310500833302,0.04418144712598497,0.9564940076381364,2
52,2017-12-30 10:31:11.668190,2017-12-30 10:52:04.923542,20.887589199999997,2112.93994140625,1791.1728516669282,0.6266820566831425,0.6076186254568111,0
53,2018-01-03 15:01:17.827760,2018-01-03 15:40:05.794407,38.79944411666667,2196.6875,2105.7111673755244,1.3648785630062794,0.0,0
54,2018-01-13 12:45:28.604127,2018-01-13 13:31:31.657269,46.0508857,2137.66162109375,959.0384720540142,0.7380742541607939,0.39202740905326927,3
55,2018-01-19 18:03:21.686900,2018-01-19 18:42:23.755028,39.0344688,2099.20629882812,1998.3054877394504,1.3032289166430906,0.0006023790737583301,0
56,2018-01-27 12:26:19.626029,2018-01-27 12:49:30.703181,23.1846192,2142.13134765625,1047.2977582414226,0.40595719287323856,0.0,3
57,2018-01-27 17:52:00.612694,2018-01-27 18:29:53.614248,37.88335923333333,2075.82543945312,1982.4795772677562,1.2549183175286756,0.4095492924398221,0
