cluster,n_cycles,duration_mean,duration_std,max_power_mean,max_power_std,mean_power_mean,mean_power_std,energy_mean_kwh,energy_std_kwh,peak_time_mean
0,1,28.764857783333333,,2121.01611328125,,1941.632115505614,,0.9336181880234646,,0.12612980633020676
1,1,30.279855716666667,,2211.69702148438,,2051.773342694188,,1.0391977333501008,,0.007605666680529426
2,1,40.161019,,2169.86450195312,,2010.3252552189315,,1.346603558676145,,0.0006529708857750806
3,2,29.975462916666665,0.43106169833151003,2199.496337890625,12.694431164006735,1916.3718186618353,8.632499313019654,0.9604421350838832,0.010569616925439946,0.008389352320551912
4,1,20.617954683333334,,2072.44750976562,,1777.3543622643606,,0.6130246645438635,,0.03943016530046331
5,1,20.887589199999997,,2112.93994140625,,1791.1728516669282,,0.6266820566831425,,0.6076186254568111
6,1,31.95743858333333,,2195.09057617188,,1809.5341518387058,,0.9668492559009885,,0.20445478528332772
7,4,29.525640383333332,2.192839706017936,2143.4224243164076,19.851915157825303,2038.9441885594501,35.55627737956474,1.0069478303229173,0.08302013554836493,0.03409545146035478
8,7,36.69056286904762,2.2475332707388582,2156.3048270089284,38.13253810050574,2058.1943980763995,39.825849643094905,1.261269886831892,0.07160398513922292,0.05034898214242783
9,2,37.30689115833333,2.465773965200719,2170.365478515625,14.622401997085682,2076.038415099675,12.509356278821578,1.2939863089573913,0.07757603284733512,0.0009796023607091234
10,2,29.861930133333335,0.45966551113338944,2206.4154052734348,2.9915657742179755,2107.572670862899,16.73076589312274,1.052444842359999,0.02458015002164563,0.0007156183668739979
11,1,37.88335923333333,,2075.82543945312,,1982.4795772677562,,1.2549183175286756,,0.4095492924398221
12,1,28.782046116666667,,2205.13232421875,,2091.8810222988477,,1.0068353084459356,,0.37002550660675065
13,1,39.634833566666664,,2157.25708007812,,2055.234216421766,,1.360731616380526,,0.7394184970269083
14,1,30.101086716666668,,2126.529296875,,2048.6991741328543,,1.030764295939409,,0.949104527928417
15,3,105.19850725555555,0.15115871759426647,2200.2466634114567,8.943343827391772,565.9699262624409,39.45263879046224,0.9919517659058421,0.06519741346249702,0.3942402961892873
16,1,89.67789753333334,,2181.11108398438,,622.0616532728003,,0.9298471233811536,,0.6947482298943325
17,1,108.56406575,,2219.19702148438,,611.3264157543389,,1.1065869694698174,,0.10953933520824365
18,1,132.13296743333333,,2195.37646484375,,563.2168694355945,,1.2425351753149931,,0.9345186229385177
19,2,21.042594541666666,0.45969503284150354,769.5445251464845,14.36012856512352,123.37469034896358,0.7614333134607426,0.04342388168321769,0.0010713593235466678,0.952616729266661
20,3,21.41989211111111,1.0323336502436193,771.6162109375,14.823401796625532,210.65102712527445,2.041050721609038,0.07550380914466391,0.004054837748393652,0.9358465120328848
21,5,35.15426819333333,1.0494611508044138,762.0381713867188,12.649969003196462,188.98671838149542,10.59512405853023,0.11107232981478296,0.0050078904263249815,0.9499785374780227
22,12,31.386969805555555,1.6203880289315646,772.6897277832032,9.855485117168687,166.30018781069995,14.50994374704484,0.08713365511669606,0.008372883162549352,0.9578595254629293
