cluster,n_cycles,duration_mean,duration_std,max_power_mean,max_power_std,mean_power_mean,mean_power_std,energy_mean_kwh,energy_std_kwh,peak_time_mean
0,2,535.2661083333334,389.752484819252,470.05,62.86179284748406,191.22768191268193,16.380959179390842,4.011676150618055,4.4327819430688695,0.6006550419998884
1,1,598.6766666666666,,499.4,,155.58222591362127,,2.8323841311388893,,0.0478472618806827
