chosen_k,dominant_cluster,dominant_cluster_n_cycles,cycle_id,start_time,end_time,duration_minutes,max_power,mean_power,energy_kwh,time_of_peak_norm,cluster,distance_to_last_incomplete_day,last_day_duration_minutes,last_day_max_power,last_day_mean_power,last_day_energy_kwh,last_day_time_of_peak_norm
4,2,39,14,2017-08-27 11:19:00.748805,2017-08-27 13:31:08.726851,132.1329674333333,2195.37646484375,563.2168694355945,1.2425351753149931,0.9345186229385176,1,8.043519606444686,480.20160165,2181.11108398438,520.0492440979214,0.946339908390924,0.934606696801022
4,2,39,102,2018-07-13 13:50:31.237364,2018-07-13 15:39:05.081309,108.56406575,2219.19702148438,611.3264157543389,1.1065869694698174,0.1095393352082436,1,8.629084855760004,480.20160165,2181.11108398438,520.0492440979214,0.946339908390924,0.934606696801022
4,2,39,108,2018-07-23 14:50:05.286667,2018-07-23 16:35:17.150046,105.19772298333334,2199.0556640625,533.9879752828105,0.9393847675171352,0.4771256979172931,1,8.673715159244745,480.20160165,2181.11108398438,520.0492440979214,0.946339908390924,0.934606696801022
4,2,39,93,2018-05-27 07:46:41.196813,2018-05-27 09:32:02.200208,105.35005658333333,2191.95849609375,553.8650512368674,0.971563692033702,0.3314745987565459,1,8.680420560024972,480.20160165,2181.11108398438,520.0492440979214,0.946339908390924,0.934606696801022
4,2,39,78,2018-03-30 12:09:51.240669,2018-03-30 13:54:54.105201,105.0477422,2209.72583007812,610.0567522676449,1.064906838166689,0.3741205918940228,1,8.685079151779115,480.20160165,2181.11108398438,520.0492440979214,0.946339908390924,0.934606696801022
4,2,39,109,2018-07-28 06:26:26.449381,2018-07-28 07:56:07.123233,89.67789753333334,2181.11108398438,622.0616532728003,0.9298471233811536,0.6947482298943325,1,9.022184139300549,480.20160165,2181.11108398438,520.0492440979214,0.946339908390924,0.934606696801022
4,2,39,97,2018-06-09 11:14:15.090437,2018-06-09 12:15:15.083534,60.99988495,2243.66870117188,987.532308877412,1.009190701047434,0.9934288421378138,3,9.685342934448354,480.20160165,2181.11108398438,520.0492440979214,0.946339908390924,0.934606696801022
4,2,39,105,2018-07-18 16:19:06.248656,2018-07-18 17:19:08.105513,60.03094761666667,2197.55932617188,941.4331740149676,0.9493271412196552,0.3551104406525726,3,9.726148117850876,480.20160165,2181.11108398438,520.0492440979214,0.946339908390924,0.934606696801022
4,2,39,15,2017-09-02 17:53:07.729274,2017-09-02 18:51:00.731004,57.883362166666664,2190.4931640625,257.91189698217903,0.2513912078529988,0.930724340811288,3,9.779119133245652,480.20160165,2181.11108398438,520.0492440979214,0.946339908390924,0.934606696801022
4,2,39,43,2017-12-02 14:56:37.638316,2017-12-02 15:46:48.683769,50.18409088333333,2155.59326171875,889.013165702057,0.744841177530678,0.4001962468592952,3,9.951431107607085,480.20160165,2181.11108398438,520.0492440979214,0.946339908390924,0.934606696801022
4,2,39,2,2017-06-17 15:02:26.966813,2017-06-17 15:53:31.862253,51.08159066666666,773.910461425781,123.23361694116228,0.1052067156530032,0.9944770177743862,2,9.993520535048429,480.20160165,2181.11108398438,520.0492440979214,0.946339908390924,0.934606696801022
4,2,39,90,2018-05-26 12:35:36.310808,2018-05-26 13:24:30.174138,48.89772216666667,2211.09594726562,1186.6976665783682,0.9706914422213168,0.0843296329559538,3,10.009863124098276,480.20160165,2181.11108398438,520.0492440979214,0.946339908390924,0.934606696801022
4,2,39,0,2017-06-09 06:35:52.250473,2017-06-09 07:24:59.208370,49.11596495,2254.56201171875,643.7534104076157,0.5281656343459558,0.0003295416119663,3,10.01426911868023,480.20160165,2181.11108398438,520.0492440979214,0.946339908390924,0.934606696801022
4,2,39,20,2017-09-29 15:30:17.570976,2017-09-29 16:16:42.573943,46.41671611666666,2176.91723632812,740.3681678396262,0.5699015117444955,0.7108647598497453,3,10.028320586979232,480.20160165,2181.11108398438,520.0492440979214,0.946339908390924,0.934606696801022
